model,sts_spearman,sts_pearson,sts_mse,jax_top1,jax_top5,jax_top10,jax_mrr,jax_gold_sim,jax_margin,gsc_top1,gsc_top5,gsc_mrr,gsc_sim_gold,gsc_margin,clf_f1_micro,clf_f1_macro,clf_acc
base,0.7698062077447444,0.8742452934900519,0.06670461294834641,0.0033783783783783786,0.011824324324324325,0.019707207207207207,0.010076458749472323,0.26370717192486637,-0.29838131988202937,0.13053722902921772,0.3223374175306315,0.20920287746108066,0.43068915605545044,-0.25919435308099803,,0.7141508396094743,
defs_rbp,0.7704641637782462,0.7852305515638223,0.1936884413026502,0.006193693693693694,0.015202702702702704,0.02533783783783784,0.013841390789087131,0.6606081333305049,-0.11911257381576139,0.18143261074458059,0.3105560791705938,0.25024919890818664,0.7359251976013184,-0.09648799633609025,,0.6272907701102448,
pubmed_rbp,0.8386051720527289,0.9365494585677088,0.28028980754062305,0.011824324324324325,0.030405405405405407,0.04391891891891892,0.023399609602826395,0.7848938927054405,-0.09859494828023352,0.2606032045240339,0.38501413760603204,0.31956154961203553,0.8077196478843689,-0.08575447382621333,,0.6848420363975961,
pubmed_lin,0.7525143106391585,0.8690313381374615,0.11386263803583402,0.0045045045045045045,0.010135135135135136,0.013513513513513514,0.008772574185978108,0.09493848847007423,-0.2630275777029293,0.10461828463713478,0.2587181903864279,0.171258175773856,0.21531285345554352,-0.24081498143613395,,0.49168495077999597,
defs_lin,0.7767141525529658,0.8731754498148501,0.3290680892079977,0.00563063063063063,0.015202702702702704,0.02195945945945946,0.012900165755883325,0.7499519456513561,-0.09657914149532984,0.16069745523091422,0.3039585296889727,0.22667342572822294,0.7857201099395752,-0.10720389014027458,,0.7401371527995323,
